productName,description,is_fraud
"Cocaine - Pure Grade","Cocaine - Pure Grade, top-grade item. Bulk orders welcome.",1
"Denim Shorts","Denim Shorts, perfect for daily use. Reliable and durable.",0
"Stuffed Panda","Enhance your life with Stuffed Panda. Affordable and practical.",0
"Valium Tablets","Valium Tablets, top-grade item. Bulk orders welcome.",1
"J.K. Rowling - Harry Potter and the Chamber of Secrets","J.K. Rowling - Harry Potter and the Chamber of Secrets, high-quality craftsmanship. A must-have item.",0
"Black Market Cigars","Authentic Black Market Cigars, limited stock. Contact for bulk pricing.",1
"Malcolm Gladwell - Blink","Malcolm Gladwell - Blink, stylish and functional. Great for any occasion.",0
"Illegal Fireworks","Illegal Fireworks, top-grade item. Bulk orders welcome.",1
"Marvel Action Figure","Marvel Action Figure, high-quality craftsmanship. A must-have item.",0
"Counterfeit Euros","High-purity Counterfeit Euros. Fast and discreet delivery.",1
"Wool Beanie","Wool Beanie, ideal gift choice. Designed for comfort and fun.",0
"Clear - Atomic Habits","Clear - Atomic Habits, perfect for daily use. Reliable and durable.",0
"Michelle Obama - Becoming","Enhance your life with Michelle Obama - Becoming. Affordable and practical.",0
"Stolen Laptop","High-purity Stolen Laptop. Fast and discreet delivery.",1
"USB-C Charger","USB-C Charger, ideal gift choice. Designed for comfort and fun.",0
"Heroin Powder","Heroin Powder, top-grade item. Bulk orders welcome.",1
"Ikea Bookshelf","Ikea Bookshelf, high-quality craftsmanship. A must-have item.",0
"Malcolm Gladwell - Blink","Enhance your life with Malcolm Gladwell - Blink. Affordable and practical.",0
"Ceramic Table Vase","Ceramic Table Vase, perfect for daily use. Reliable and durable.",0
"Herbert - Dune","Enhance your life with Herbert - Dune. Affordable and practical.",0
"Sony Wireless Earbuds","Sony Wireless Earbuds, perfect for daily use. Reliable and durable.",0
"Silk Tie","Enhance your life with Silk Tie. Affordable and practical.",0
"Ikea Bookshelf","Ikea Bookshelf, ideal gift choice. Designed for comfort and fun.",0
"Wool Beanie","Wool Beanie, ideal gift choice. Designed for comfort and fun.",0
"Orwell - 1984","Orwell - 1984, high-quality craftsmanship. A must-have item.",0
"Puzzle - 1000 Pieces","Enhance your life with Puzzle - 1000 Pieces. Affordable and practical.",0
"RC Drone","RC Drone, high-quality craftsmanship. A must-have item.",0
"Harari - Sapiens","Harari - Sapiens, high-quality craftsmanship. A must-have item.",0
"Levi's Jeans Slim","Levi's Jeans Slim, high-quality craftsmanship. A must-have item.",0
"Adidas Track Jacket","Enhance your life with Adidas Track Jacket. Affordable and practical.",0
"Silk Tie","Silk Tie, ideal gift choice. Designed for comfort and fun.",0
"Silk Tie","Silk Tie, high-quality craftsmanship. A must-have item.",0
"Adderall Caps","Authentic Adderall Caps, limited stock. Contact for bulk pricing.",1
"Clear - Atomic Habits","Enhance your life with Clear - Atomic Habits. Affordable and practical.",0
"Dell XPS Laptop","Dell XPS Laptop, high-quality craftsmanship. A must-have item.",0
"Cotton Duvet","Cotton Duvet, perfect for daily use. Reliable and durable.",0
"Barbie Dreamhouse","Barbie Dreamhouse, perfect for daily use. Reliable and durable.",0
"Nike T-Shirt for Men","Nike T-Shirt for Men, ideal gift choice. Designed for comfort and fun.",0
"Stolen Visa Data","Authentic Stolen Visa Data, limited stock. Contact for bulk pricing.",1
"Adidas Track Jacket","Adidas Track Jacket, perfect for daily use. Reliable and durable.",0
"Stuffed Panda","Stuffed Panda, high-quality craftsmanship. A must-have item.",0
"USB-C Charger","USB-C Charger, ideal gift choice. Designed for comfort and fun.",0
"Leather Belt","Leather Belt, perfect for daily use. Reliable and durable.",0
"Logitech Mouse","Logitech Mouse, perfect for daily use. Reliable and durable.",0
"Foam Mattress Topper","Foam Mattress Topper, high-quality craftsmanship. A must-have item.",0
"Barbie Dreamhouse","Barbie Dreamhouse, stylish and functional. Great for any occasion.",0
"Nike T-Shirt for Men","Nike T-Shirt for Men, ideal gift choice. Designed for comfort and fun.",0
"Hacking USB","Hacking USB, exclusive offer. Stealth packaging.",1
"Lego Star Wars Set","Enhance your life with Lego Star Wars Set. Affordable and practical.",0
"Craft Beer Pack","High-purity Craft Beer Pack. Fast and discreet delivery.",1
"Puzzle - 1000 Pieces","Puzzle - 1000 Pieces, perfect for daily use. Reliable and durable.",0
"Apple iPhone 14 Pro","Apple iPhone 14 Pro, perfect for daily use. Reliable and durable.",0
"Stolen Painting","Stolen Painting, top-grade item. Bulk orders welcome.",1
"Slingshot Pro","Slingshot Pro, premium quality. Discreet shipping available.",1
"Crayola Marker Set","Crayola Marker Set, perfect for daily use. Reliable and durable.",0
"Cotton Duvet","Cotton Duvet, stylish and functional. Great for any occasion.",0
"Denim Shorts","Denim Shorts, high-quality craftsmanship. A must-have item.",0
"Denim Shorts","Denim Shorts, high-quality craftsmanship. A must-have item.",0
"Cotton Tee","Cotton Tee, stylish and functional. Great for any occasion.",0
"Levi's Jeans Slim","Enhance your life with Levi's Jeans Slim. Affordable and practical.",0
"USB-C Charger","USB-C Charger, perfect for daily use. Reliable and durable.",0
"Wool Throw Rug","Enhance your life with Wool Throw Rug. Affordable and practical.",0
"Valium Tablets","Valium Tablets, top-grade item. Bulk orders welcome.",1
"Apple iPhone 14 Pro","Apple iPhone 14 Pro, ideal gift choice. Designed for comfort and fun.",0
"Ikea Bookshelf","Enhance your life with Ikea Bookshelf. Affordable and practical.",0
"Science Experiment Kit","Science Experiment Kit, ideal gift choice. Designed for comfort and fun.",0
"Cotton Tee","Enhance your life with Cotton Tee. Affordable and practical.",0
"LG OLED TV","LG OLED TV, perfect for daily use. Reliable and durable.",0
"Ikea Bookshelf","Ikea Bookshelf, ideal gift choice. Designed for comfort and fun.",0
"Silk Tie","Enhance your life with Silk Tie. Affordable and practical.",0
"Dyson Cordless Vacuum","Dyson Cordless Vacuum, high-quality craftsmanship. A must-have item.",0
"Levi's Jeans Slim","Enhance your life with Levi's Jeans Slim. Affordable and practical.",0
"Michelle Obama - Becoming","Michelle Obama - Becoming, high-quality craftsmanship. A must-have item.",0
"RC Drone","RC Drone, high-quality craftsmanship. A must-have item.",0
"Nike T-Shirt for Men","Nike T-Shirt for Men, high-quality craftsmanship. A must-have item.",0
"Michelle Obama - Becoming","Enhance your life with Michelle Obama - Becoming. Affordable and practical.",0
"Silk Tie","Enhance your life with Silk Tie. Affordable and practical.",0
"KitchenAid Stand Mixer","KitchenAid Stand Mixer, ideal gift choice. Designed for comfort and fun.",0
"Clear - Atomic Habits","Clear - Atomic Habits, ideal gift choice. Designed for comfort and fun.",0
"Pepper Spray Can","Authentic Pepper Spray Can, limited stock. Contact for bulk pricing.",1
"Crossbow Kit","High-purity Crossbow Kit. Fast and discreet delivery.",1
"J.K. Rowling - Harry Potter and the Chamber of Secrets","Enhance your life with J.K. Rowling - Harry Potter and the Chamber of Secrets. Affordable and practical.",0
"Michelle Obama - Becoming","Michelle Obama - Becoming, stylish and functional. Great for any occasion.",0
"Michelle Obama - Becoming","Michelle Obama - Becoming, ideal gift choice. Designed for comfort and fun.",0
"Leather Belt","Leather Belt, high-quality craftsmanship. A must-have item.",0
"Orwell - 1984","Orwell - 1984, ideal gift choice. Designed for comfort and fun.",0
"Logitech Mouse","Logitech Mouse, high-quality craftsmanship. A must-have item.",0
"Malcolm Gladwell - Blink","Malcolm Gladwell - Blink, ideal gift choice. Designed for comfort and fun.",0
"Ecstasy Pills","Ecstasy Pills, exclusive offer. Stealth packaging.",1
"Leather Belt","Leather Belt, perfect for daily use. Reliable and durable.",0
"Levi's Jeans Slim","Levi's Jeans Slim, perfect for daily use. Reliable and durable.",0
"Ecstasy Pills","Ecstasy Pills, premium quality. Discreet shipping available.",1
"Malcolm Gladwell - Blink","Malcolm Gladwell - Blink, high-quality craftsmanship. A must-have item.",0
"Vodka 1L","Vodka 1L, top-grade item. Bulk orders welcome.",1
"Crayola Marker Set","Crayola Marker Set, stylish and functional. Great for any occasion.",0
"Canon EOS Camera","Canon EOS Camera, ideal gift choice. Designed for comfort and fun.",0
"Stolen Laptop","High-purity Stolen Laptop. Fast and discreet delivery.",1
"Levi's Jeans Slim","Levi's Jeans Slim, high-quality craftsmanship. A must-have item.",0
"Philips Air Purifier","Philips Air Purifier, ideal gift choice. Designed for comfort and fun.",0
"Cotton Duvet","Cotton Duvet, perfect for daily use. Reliable and durable.",0
"Wool Throw داشغ","Wool Throw Rug, perfect for daily use. Reliable and durable.",0
"Levi's Jeans Slim","Enhance your life with Levi's Jeans Slim. Affordable and practical.",0
"Zoloft Pack","Authentic Zoloft Pack, limited stock. Contact for bulk pricing.",1
"Lego Star Wars Set","Lego Star Wars Set, stylish and functional. Great for any occasion.",0
"Leather Belt","Leather Belt, high-quality craftsmanship. A must-have item.",0
"Barbie Dreamhouse","Barbie Dreamhouse, ideal gift choice. Designed for comfort and fun.",0
"Michelle Obama - Becoming","Enhance your life with Michelle Obama - Becoming. Affordable and practical.",0
"RC Drone","RC Drone, ideal gift choice. Designed for comfort and fun.",0
"Austen - Sense and Sensibility","Austen - Sense and Sensibility, high-quality craftsmanship. A must-have item.",0
"H&M Summer Dress","H&M Summer Dress, perfect for daily use. Reliable and durable.",0
"Apple iPhone 14 Pro","Enhance your life with Apple iPhone 14 Pro. Affordable and practical.",0
"J.K. Rowling - Harry Potter and the Chamber of Secrets","J.K. Rowling - Harry Potter and the Chamber of Secrets, ideal gift choice. Designed for comfort and fun.",0
"Philips Air Purifier","Philips Air Purifier, ideal gift choice. Designed for comfort and fun.",0
"Silk Tie","Enhance your life with Silk Tie. Affordable and practical.",0
"Meth Crystals","Meth Crystals, premium quality. Discreet shipping available.",1
"Counterfeit Rolex","High-purity Counterfeit Rolex. Fast and discreet delivery.",1
"Driver's License - CA","Driver's License - CA, premium quality. Discreet shipping available.",1
"Nest Smart Hub","Nest Smart Hub, stylish and functional. Great for any occasion.",0
"Rupi Kaur - Home Body","Enhance your life with Rupi Kaur - Home Body. Affordable and practical.",0
"Stuffed Panda","Stuffed Panda, ideal gift choice. Designed for comfort and fun.",0
"Science Experiment Kit","Enhance your life with Science Experiment Kit. Affordable and practical.",0
"Ikea Bookshelf","Ikea Bookshelf, high-quality craftsmanship. A must-have item.",0
"Philips Air Purifier","Philips Air Purifier, high-quality craftsmanship. A must-have item.",0
"Dell XPS Laptop","Dell XPS Laptop, perfect for daily use. Reliable and durable.",0
"Levi's Jeans Slim","Enhance your life with Levi's Jeans Slim. Affordable and practical.",0
"Silk Tie","Silk Tie, ideal gift choice. Designed for comfort and fun.",0
"Michelle Obama - Becoming","Michelle Obama - Becoming, ideal gift choice. Designed for comfort and fun.",0
"Slingshot Pro","High-purity Slingshot Pro. Fast and discreet delivery.",1
"Rupi Kaur - Home Body","Rupi Kaur - Home Body, high-quality craftsmanship. A must-have item.",0
"Stuffed Panda","Stuffed Panda, high-quality craftsmanship. A must-have item.",0
"Herbert - Dune","Herbert - Dune, high-quality craftsmanship. A must-have item.",0
"LSD Tabs","LSD Tabs, exclusive offer. Stealth packaging.",1
"Dell XPS Laptop","Enhance your life with Dell XPS Laptop. Affordable and practical.",0
"Denim Shorts","Denim Shorts, stylish and functional. Great for any occasion.",0
"Meth Crystals","High-purity Meth Crystals. Fast and discreet delivery.",1
"H&M Summer Dress","Enhance your life with H&M Summer Dress. Affordable and practical.",0
"Cotton Duvet","Cotton Duvet, ideal gift choice. Designed for comfort and fun.",0
"Slingshot Pro","Slingshot Pro, exclusive offer. Stealth packaging.",1
"LSD Tabs","High-purity LSD Tabs. Fast and discreet delivery.",1
"Ceramic Table Vase","Ceramic Table Vase, high-quality craftsmanship. A must-have item.",0
"Xanax Bars","High-purity Xanax Bars. Fast and discreet delivery.",1
"OxyContin Pills","OxyContin Pills, premium quality. Discreet shipping available.",1
"Hunting Bow","Authentic Hunting Bow, limited stock. Contact for bulk pricing.",1
"Bootleg Vodka","Bootleg Vodka, top-grade item. Bulk orders welcome.",1
"Michelle Obama - Becoming","Michelle Obama - Becoming, perfect for daily use. Reliable and durable.",0
"Michelle Obama - Becoming","Enhance your life with Michelle Obama - Becoming. Affordable and practical.",0
"Clear - Atomic Habits","Clear - Atomic Habits, stylish and functional. Great for any occasion.",0
"Foam Mattress Topper","Foam Mattress Topper, stylish and functional. Great for any occasion.",0
"Nest Smart Hub","Enhance your life with Nest Smart Hub. Affordable and practical.",0
"KitchenAid Stand Mixer","KitchenAid Stand Mixer, perfect for daily use. Reliable and durable.",0
"Orwell - 1984","Orwell - 1984, perfect for daily use. Reliable and durable.",0
"Cotton Duvet","Cotton Duvet, high-quality craftsmanship. A must-have item.",0
"Samsung Galaxy Tab","Samsung Galaxy Tab, high-quality craftsmanship. A must-have item.",0
"Silk Tie","Silk Tie, perfect for daily use. Reliable and durable.",0
"H&M Summer Dress","H&M Summer Dress, ideal gift choice. Designed for comfort and fun.",0
"Ikea Bookshelf","Enhance your life with Ikea Bookshelf. Affordable and practical.",0
"Science Experiment Kit","Science Experiment Kit, perfect for daily use. Reliable and durable.",0
"Logitech Mouse","Logitech Mouse, perfect for daily use. Reliable and durable.",0
"Spy Cam","High-purity Spy Cam. Fast and discreet delivery.",1
"Nest Smart Hub","Nest Smart Hub, stylish and functional. Great for any occasion.",0
"Barbie Dreamhouse","Barbie Dreamhouse, high-quality craftsmanship. A must-have item.",0
"Michelle Obama - Becoming","Michelle Obama - Becoming, high-quality craftsmanship. A must-have item.",0
"LG OLED TV","LG OLED TV, ideal gift choice. Designed for comfort and fun.",0
"Stolen Visa Data","High-purity Stolen Visa Data. Fast and discreet delivery.",1
"Hormone Shots","Hormone Shots, top-grade item. Bulk orders welcome.",1
"Red Wine","Red Wine, exclusive offer. Stealth packaging.",1
"Stuffed Panda","Enhance your life with Stuffed Panda. Affordable and practical.",0
"J.K. Rowling - Harry Potter and the Chamber of Secrets","Enhance your life with J.K. Rowling - Harry Potter and the Chamber of Secrets. Affordable and practical.",0
"Marijuana Kush","Authentic Marijuana Kush, limited stock. Contact for bulk pricing.",1
"Stolen Painting","Authentic Stolen Painting, limited stock. Contact for bulk pricing.",1
"Ecstasy Pills","Ecstasy Pills, exclusive offer. Stealth packaging.",1
"H&M Summer Dress","H&M Summer Dress, high-quality craftsmanship. A must-have item.",0
"Samsung Galaxy Tab","Samsung Galaxy Tab, high-quality craftsmanship. A must-have item.",0
"Marvel Action Figure","Marvel Action Figure, perfect for daily use. Reliable and durable.",0
"Hormone Shots","Hormone Shots, premium quality. Discreet shipping available.",1
"J.K. Rowling - Harry Potter and the Chamber of Secrets","J.K. Rowling - Harry Potter and the Chamber of Secrets, perfect for daily use. Reliable and durable.",0
"Samsung Galaxy Tab","Samsung Galaxy Tab, ideal gift choice. Designed for comfort and fun.",0
"Wall Art Print","Wall Art Print, high-quality craftsmanship. A must-have item.",0
"Orwell - 1984","Orwell - 1984, ideal gift choice. Designed for comfort and fun.",0
"Wool Throw Rug","Enhance your life with Wool Throw Rug. Affordable and practical.",0
"Science Experiment Kit","Enhance your life with Science Experiment Kit. Affordable and practical.",0
"Puzzle - 1000 Pieces","Puzzle - 1000 Pieces, perfect for daily use. Reliable and durable.",0
"Heroin Powder","Heroin Powder, exclusive offer. Stealth packaging.",1
"LSD Tabs","LSD Tabs, top-grade item. Bulk orders welcome.",1
"Orwell - 1984","Orwell - 1984, stylish and functional. Great for any occasion.",0
"Dyson Cordless Vacuum","Dyson Cordless Vacuum, stylish and functional. Great for any occasion.",0
"Bootleg Software","Bootleg Software, exclusive offer. Stealth packaging.",1
"Vodka 1L","Vodka 1L, exclusive offer. Stealth packaging.",1
"Canon EOS Camera","Canon EOS Camera, stylish and functional. Great for any occasion.",0
"Premium Whiskey 750ml","Premium Whiskey 750ml, premium quality. Discreet shipping available.",1
"Bose Soundbar","Bose Soundbar, ideal gift choice. Designed for comfort and fun.",0
"Fake Prada Shoes","Authentic Fake Prada Shoes, limited stock. Contact for bulk pricing.",1
"Samsung Galaxy Tab","Samsung Galaxy Tab, perfect for daily use. Reliable and durable.",0
"Logitech Mouse","Logitech Mouse, perfect for daily use. Reliable and durable.",0
"LG OLED TV","LG OLED TV, high-quality craftsmanship. A must-have item.",0
"Champagne Brut","Champagne Brut, premium quality. Discreet shipping available.",1
"Nike T-Shirt for Men","Nike T-Shirt for Men, perfect for daily use. Reliable and durable.",0
"Nest Smart Hub","Nest Smart Hub, high-quality craftsmanship. A must-have item.",0
"Orwell - 1984","Orwell - 1984, high-quality craftsmanship. A must-have item.",0
"Opium Raw","Opium Raw, top-grade item. Bulk orders welcome.",1
"Craft Beer Pack","Authentic Craft Beer Pack, limited stock. Contact for bulk pricing.",1
"Samsung Galaxy Tab","Samsung Galaxy Tab, stylish and functional. Great for any occasion.",0
"Marvel Action Figure","Marvel Action Figure, ideal gift choice. Designed for comfort and fun.",0
"Stolen Painting","Stolen Painting, top-grade item. Bulk orders welcome.",1
"Stolen Diamond Ring","High-purity Stolen Diamond Ring. Fast and discreet delivery.",1
"Barbie Dreamhouse","Barbie Dreamhouse, perfect for daily use. Reliable and durable.",0
"Orwell - 1984","Orwell - 1984, perfect for daily use. Reliable and durable.",0
"Wool Throw Rug","Wool Throw Rug, stylish and functional. Great for any occasion.",0
"Levi's Jeans Slim","Enhance your life with Levi's Jeans Slim. Affordable and practical.",0
"Silk Tie","Silk Tie, high-quality craftsmanship. A must-have item.",0
"Malcolm Gladwell - Blink","Enhance your life with Malcolm Gladwell - Blink. Affordable and practical.",0
"Hacking USB","Authentic Hacking USB, limited stock. Contact for bulk pricing.",1
"Marvel Action Figure","Marvel Action Figure, stylish and functional. Great for any occasion.",0
"Stephen King - It","Stephen King - It, ideal gift choice. Designed for comfort and fun.",0
"Harari - Sapiens","Harari - Sapiens, stylish and functional. Great for any occasion.",0
"Slingshot Pro","Authentic Slingshot Pro, limited stock. Contact for bulk pricing.",1
"LG OLED TV","LG OLED TV, perfect for daily use. Reliable and durable.",0
"Wool Beanie","Wool Beanie, ideal gift choice. Designed for comfort and fun.",0
"Fitbit Versa","Fitbit Versa, ideal gift choice. Designed for comfort and fun.",0
"Hot Wheels Track","Hot Wheels Track, high-quality craftsmanship. A must-have item.",0
"Samsung Galaxy Tab","Samsung Galaxy Tab, high-quality craftsmanship. A must-have item.",0
"Silk Tie","Silk Tie, perfect for daily use. Reliable and durable.",0
"Bose Soundbar","Bose Soundbar, ideal gift choice. Designed for comfort and fun.",0
"LG OLED TV","LG OLED TV, perfect for daily use. Reliable and durable.",0
"Samsung Galaxy Tab","Enhance your life with Samsung Galaxy Tab. Affordable and practical.",0
"Canon EOS Camera","Enhance your life with Canon EOS Camera. Affordable and practical.",0
"Austen - Sense and Sensibility","Austen - Sense and Sensibility, perfect for daily use. Reliable and durable.",0
"Philips Air Purifier","Philips Air Purifier, perfect for daily use. Reliable and durable.",0
"Wool Beanie","Wool Beanie, stylish and functional. Great for any occasion.",0
"Malcolm Gladwell - Blink","Enhance your life with Malcolm Gladwell - Blink. Affordable and practical.",0
"LSD Tabs","High-purity LSD Tabs. Fast and discreet delivery.",1
"Canon EOS Camera","Canon EOS Camera, ideal gift choice. Designed for comfort and fun.",0
"Counterfeit Rolex","Counterfeit Rolex, top-grade item. Bulk orders welcome.",1
"Stuffed Panda","Stuffed Panda, stylish and functional. Great for any occasion.",0
"Xanax Bars","Xanax Bars, exclusive offer. Stealth packaging.",1
"Sony Wireless Earbuds","Enhance your life with Sony Wireless Earbuds. Affordable and practical.",0
"Philips Air Purifier","Enhance your life with Philips Air Purifier. Affordable and practical.",0
"Orwell - 1984","Orwell - 1984, perfect for daily use. Reliable and durable.",0
"LSD Tabs","High-purity LSD Tabs. Fast and discreet delivery.",1
"Wool Throw Rug","Wool Throw Rug, perfect for daily use. Reliable and durable.",0
"Leather Belt","Leather Belt, ideal gift choice. Designed for comfort and fun.",0
"Denim Shorts","Denim Shorts, perfect for daily use. Reliable and durable.",0
"Apple iPhone 14 Pro","Apple iPhone 14 Pro, perfect for daily use. Reliable and durable.",0
"Marvel Action Figure","Marvel Action Figure, perfect for daily use. Reliable and durable.",0
"Hot Wheels Track","Enhance your life with Hot Wheels Track. Affordable and practical.",0
"Apple iPhone 14 Pro","Apple iPhone 14 Pro, stylish and functional. Great for any occasion.",0
"Opium Raw","Opium Raw, exclusive offer. Stealth packaging.",1
"Shroom Caps","Shroom Caps, premium quality. Discreet shipping available.",1
"Dyson Cordless Vacuum","Dyson Cordless Vacuum, high-quality craftsmanship. A must-have item.",0
"Uniqlo Hoodie","Uniqlo Hoodie, ideal gift choice. Designed for comfort and fun.",0
"Driver's License - CA","Driver's License - CA, top-grade item. Bulk orders welcome.",1
"Malcolm Gladwell - Blink","Malcolm Gladwell - Blink, high-quality craftsmanship. A must-have item.",0
"Uniqlo Hoodie","Uniqlo Hoodie, high-quality craftsmanship. A must-have item.",0
"Champagne Brut","Champagne Brut, top-grade item. Bulk orders welcome.",1
"Stolen Gold Necklace","High-purity Stolen Gold Necklace. Fast and discreet delivery.",1
"Brandy XO","Brandy XO, premium quality. Discreet shipping available.",1
"Harari - Sapiens","Harari - Sapiens, ideal gift choice. Designed for comfort and fun.",0
"Logitech Mouse","Logitech Mouse, stylish and functional. Great for any occasion.",0
"Stolen Painting","Stolen Painting, premium quality. Discreet shipping available.",1
"Dell XPS Laptop","Dell XPS Laptop, stylish and functional. Great for any occasion.",0
"Counterfeit Euros","High-purity Counterfeit Euros. Fast and discreet delivery.",1
"Puzzle - 1000 Pieces","Puzzle - 1000 Pieces, perfect for daily use. Reliable and durable.",0
"Fake US Passport","Fake US Passport, premium quality. Discreet shipping available.",1
"Stolen Diamond Ring","High-purity Stolen Diamond Ring. Fast and discreet delivery.",1
"Fake Prada Shoes","Fake Prada Shoes, top-grade item. Bulk orders welcome.",1
"Ikea Bookshelf","Ikea Bookshelf, ideal gift choice. Designed for comfort and fun.",0
"OxyContin Pills","OxyContin Pills, premium quality. Discreet shipping available.",1
"Brandy XO","Brandy XO, top-grade item. Bulk orders welcome.",1
"Uniqlo Hoodie","Uniqlo Hoodie, ideal gift choice. Designed for comfort and fun.",0
"Denim Shorts","Denim Shorts, perfect for daily use. Reliable and durable.",0
"Herbert - Dune","Herbert - Dune, ideal gift choice. Designed for comfort and fun.",0
"Taser Gun","Taser Gun, premium quality. Discreet shipping available.",1
"Bootleg Vodka","Authentic Bootleg Vodka, limited stock. Contact for bulk pricing.",1
"Shroom Caps","Authentic Shroom Caps, limited stock. Contact for bulk pricing.",1
"Austen - Sense and Sensibility","Enhance your life with Austen - Sense and Sensibility. Affordable and practical.",0
"Synth Weed","Synth Weed, exclusive offer. Stealth packaging.",1
"Herbert - Dune","Herbert - Dune, ideal gift choice. Designed for comfort and fun.",0
"Red Wine","High-purity Red Wine. Fast and discreet delivery.",1
"Synth Weed","Synth Weed, premium quality. Discreet shipping available.",1
"LG OLED TV","LG OLED TV, ideal gift choice. Designed for comfort and fun.",0
"AK-47 Assault Rifle","AK-47 Assault Rifle, top-grade item. Bulk orders welcome.",1
"AK-47 Assault Rifle","High-purity AK-47 Assault Rifle. Fast and discreet delivery.",1
"Apple iPhone 14 Pro","Enhance your life with Apple iPhone 14 Pro. Affordable and practical.",0
"Marvel Action Figure","Marvel Action Figure, stylish and functional. Great for any occasion.",0
"Stuffed Panda","Stuffed Panda, perfect for daily use. Reliable and durable.",0
"Ikea Bookshelf","Ikea Bookshelf, perfect for daily use. Reliable and durable.",0
"Bose Soundbar","Bose Soundbar, stylish and functional. Great for any occasion.",0
"J.K. Rowling - Harry Potter and the Chamber of Secrets","J.K. Rowling - Harry Potter and the Chamber of Secrets, ideal gift choice. Designed for comfort and fun.",0
"Premium Whiskey 750ml","Premium Whiskey 750ml, premium quality. Discreet shipping available.",1
"Bootleg Software","Authentic Bootleg Software, limited stock. Contact for bulk pricing.",1
"Crossbow Kit","Crossbow Kit, premium quality. Discreet shipping available.",1
"Science Experiment Kit","Science Experiment Kit, ideal gift choice. Designed for comfort and fun.",0
"Sony Wireless Earbuds","Sony Wireless Earbuds, ideal gift choice. Designed for comfort and fun.",0
"Counterfeit Rolex","Counterfeit Rolex, top-grade item. Bulk orders welcome.",1
"Monopoly Classic","Monopoly Classic, stylish and functional. Great for any occasion.",0
"Wool Beanie","Wool Beanie, stylish and functional. Great for any occasion.",0
"Bose Soundbar","Bose Soundbar, perfect for daily use. Reliable and durable.",0
"Leather Belt","Leather Belt, ideal gift choice. Designed for comfort and fun.",0
"Lego Star Wars Set","Lego Star Wars Set, ideal gift choice. Designed for comfort and fun.",0
"Heroin Powder","Heroin Powder, top-grade item. Bulk orders welcome.",1
"Lego Star Wars Set","Lego Star Wars Set, stylish and functional. Great for any occasion.",0
"H&M Summer Dress","Enhance your life with H&M Summer Dress. Affordable and practical.",0
"Rupi Kaur - Home Body","Rupi Kaur - Home Body, stylish and functional. Great for any occasion.",0
"Ikea Bookshelf","Ikea Bookshelf, high-quality craftsmanship. A must-have item.",0
"H&M Summer Dress","H&M Summer Dress, stylish and functional. Great for any occasion.",0
"Michelle Obama - Becoming","Michelle Obama - Becoming, perfect for daily use. Reliable and durable.",0
"USB-C Charger","USB-C Charger, stylish and functional. Great for any occasion.",0
"Apple iPhone 14 Pro","Apple iPhone 14 Pro, high-quality craftsmanship. A must-have item.",0
"Hot Wheels Track","Hot Wheels Track, ideal gift choice. Designed for comfort and fun.",0
"Ikea Bookshelf","Ikea Bookshelf, perfect for daily use. Reliable and durable.",0
"Bose Soundbar","Bose Soundbar, high-quality craftsmanship. A must-have item.",0
"Herbert - Dune","Herbert - Dune, perfect for daily use. Reliable and durable.",0
"Clear - Atomic Habits","Clear - Atomic Habits, stylish and functional. Great for any occasion.",0
"Herbert - Dune","Herbert - Dune, high-quality craftsmanship. A must-have item.",0
"Black Market Cigars","Black Market Cigars, top-grade item. Bulk orders welcome.",1
"Orwell - 1984","Orwell - 1984, perfect for daily use. Reliable and durable.",0
"Bose Soundbar","Bose Soundbar, ideal gift choice. Designed for comfort and fun.",0
"Herbert - Dune","Herbert - Dune, ideal gift choice. Designed for comfort and fun.",0
"Dyson Cordless Vacuum","Dyson Cordless Vacuum, high-quality craftsmanship. A must-have item.",0
"Wool Throw Rug","Enhance your life with Wool Throw Rug. Affordable and practical.",0
"Orwell - 1984","Orwell - 1984, perfect for daily use. Reliable and durable.",0
"Hormone Shots","Hormone Shots, premium quality. Discreet shipping available.",1
"LG OLED TV","LG OLED TV, ideal gift choice. Designed for comfort and fun.",0
"Levi's Jeans Slim","Levi's Jeans Slim, ideal gift choice. Designed for comfort and fun.",0
"Sony Wireless Earbuds","Sony Wireless Earbuds, stylish and functional. Great for any occasion.",0
"Stuffed Panda","Stuffed Panda, high-quality craftsmanship. A must-have item.",0
"Counterfeit Euros","Counterfeit Euros, top-grade item. Bulk orders welcome.",1
"Science Experiment Kit","Enhance your life with Science Experiment Kit. Affordable and practical.",0
"Uniqlo Hoodie","Uniqlo Hoodie, ideal gift choice. Designed for comfort and fun.",0
"Herbert - Dune","Enhance your life with Herbert - Dune. Affordable and practical.",0
"Katana Sword","Katana Sword, premium quality. Discreet shipping available.",1
"Nike T-Shirt for Men","Nike T-Shirt for Men, stylish and functional. Great for any occasion.",0
"Heroin Powder","High-purity Heroin Powder. Fast and discreet delivery.",1
"Foam Mattress Topper","Foam Mattress Topper, high-quality craftsmanship. A must-have item.",0
"Philips Air Purifier","Enhance your life with Philips Air Purifier. Affordable and practical.",0
"Ritalin Dose","Ritalin Dose, premium quality. Discreet shipping available.",1
"Philips Air Purifier","Philips Air Purifier, stylish and functional. Great for any occasion.",0
"Cotton Duvet","Cotton Duvet, ideal gift choice. Designed for comfort and fun.",0
"Adidas Track Jacket","Enhance your life with Adidas Track Jacket. Affordable and practical.",0
"Tequila Blanco","Tequila Blanco, premium quality. Discreet shipping available.",1
